Group Name;Pos;Team;MP;W;D;L;GF;GA;GD;Pts
A;1;Uruguay;3;3;0;0;5;0;5;9
A;2;Russia;3;2;0;1;8;4;4;6
A;3;Saudi Arabia;3;1;0;2;2;7;-5;3
A;4;Egypt;3;0;0;3;2;6;-4;0
B;1;Spain;3;1;2;0;6;5;1;5
B;2;Portugal;3;1;2;0;5;4;1;5
B;3;Iran;3;1;1;1;2;2;0;4
B;4;Morocco;3;0;1;2;2;4;-2;1
C;1;France;3;2;1;0;3;1;2;7
C;2;Denmark;3;1;2;0;2;1;1;5
C;3;Peru;3;1;0;2;2;2;0;3
C;4;Australia;3;0;1;2;2;5;-3;1
D;1;Croatia;3;3;0;0;7;1;6;9
D;2;Argentina;3;1;1;1;3;5;-2;4
D;3;Nigeria;3;1;0;2;3;4;-1;3
D;4;Iceland;3;0;1;2;2;5;-3;1
E;1;Brazil;3;2;1;0;5;1;4;7
E;2;Switzerland;3;1;2;0;5;4;1;5
E;3;Serbia;3;1;0;2;2;4;-2;3
E;4;Costa Rica;3;0;1;2;2;5;-3;1
F;1;Sweden;3;2;0;1;5;2;3;6
F;2;Mexico;3;2;0;1;3;4;-1;6
F;3;South Korea;3;1;0;2;3;3;0;3
F;4;Germany;3;1;0;2;2;4;-2;3
G;1;Belgium;3;3;0;0;9;2;7;9
G;2;England;3;2;0;1;8;3;5;6
G;3;Tunisia;3;1;0;2;5;8;-3;3
G;4;Panama;3;0;0;3;2;11;-9;0
H;1;Colombia;3;2;0;1;5;2;3;6
H;2;Japan;3;1;1;1;4;4;0;4
H;3;Senegal;3;1;1;1;4;4;0;4
H;4;Poland;3;1;0;2;2;5;-3;3